country,code2,code2lower
England,EN,en
Germany,GE,ge
Austria,AU,au
Spain,SP,sp
Portugal,PO,po
France,FR,fr
Netherlands,NE,ne
Belgium,BE,be
Italy,IT,it
Denmark,DE,de
Switzerland,SW,sw
Greece,GR,gr
