country,code2,code2lower
United States,AM,am
Argentina,AG,ag
Brazil,BR,br
Chile,CL,cl
Columbia,CO,co
Ecuador,EC,ec
Mexico,MX,mx
Peru,PE,pe
Uruguay,UR,ur
