country,code2,code2lower
Morocco,MO,mo
Ethiopia,EP,ep
South Africa,SA,sa
Egypt,EG,eg
Tunisia,TU,tu
Mozambique,MZ,mz
Sudan,SU,su
Chad,CD,cd
